Date,Open,High,Low,Close,Adj Close,Volume
2022-05-19,7400.0,7475.0,7375.0,7450.0,724.105.224.609.375,140908900
2022-05-20,7425.0,7475.0,7400.0,7400.0,7.192.455.078.125,86520200
2022-05-23,7450.0,7475.0,7350.0,7375.0,716.815.576.171.875,71603500
2022-05-24,7325.0,7475.0,7325.0,7350.0,7.143.857.421.875,108710800
2022-05-25,7400.0,7450.0,7350.0,7375.0,716.815.576.171.875,76747400
2022-05-27,7525.0,7575.0,7475.0,7575.0,736.254.638.671.875,84336900
2022-05-30,7575.0,7600.0,7475.0,7575.0,736.254.638.671.875,105411400
2022-05-31,7600.0,7750.0,7525.0,7750.0,7.532.638.671.875,286292700
2022-06-02,7625.0,7675.0,7525.0,7575.0,736.254.638.671.875,149226300
2022-06-03,7600.0,7675.0,7575.0,7600.0,738.684.521.484.375,80563100
2022-06-06,7550.0,7575.0,7425.0,7450.0,724.105.224.609.375,81140300
2022-06-07,7300.0,7475.0,7300.0,7375.0,716.815.576.171.875,129242500
2022-06-08,7500.0,7600.0,7425.0,7600.0,738.684.521.484.375,108910500
2022-06-09,7500.0,7575.0,7500.0,7500.0,728.964.990.234.375,107828300
2022-06-10,7400.0,7450.0,7350.0,7350.0,7.143.857.421.875,111768600
2022-06-13,7300.0,7400.0,7275.0,7350.0,7.143.857.421.875,85539500
2022-06-14,7300.0,7400.0,7250.0,7400.0,7.192.455.078.125,80865100
2022-06-15,7300.0,7375.0,7300.0,7325.0,711.955.810.546.875,130367100
2022-06-16,7400.0,7600.0,7375.0,7575.0,736.254.638.671.875,132666300
2022-06-17,7425.0,7550.0,7425.0,7500.0,728.964.990.234.375,117839400
2022-06-20,7600.0,7650.0,7500.0,7625.0,741.114.453.125,88138700
2022-06-21,7600.0,7650.0,7550.0,7650.0,7.435.443.359.375,44295700
2022-06-22,7625.0,7650.0,7500.0,7500.0,728.964.990.234.375,53041800
2022-06-23,7450.0,7575.0,7450.0,7525.0,731.394.921.875,60443000
2022-06-24,7600.0,7600.0,7475.0,7475.0,72.653.515.625,57956600
2022-06-27,7475.0,7500.0,7350.0,7350.0,7.143.857.421.875,76354100
2022-06-28,7300.0,7400.0,7300.0,7300.0,7.095.259.765.625,146078100
2022-06-29,7325.0,7400.0,7275.0,7275.0,70.709.609.375,98517800
2022-06-30,7300.0,7400.0,7250.0,7250.0,7.046.662.109.375,101343900
2022-07-01,7300.0,7325.0,7250.0,7250.0,7.046.662.109.375,68738800
2022-07-04,7250.0,7275.0,7000.0,7050.0,6.852.271.484.375,102238600
2022-07-05,7100.0,7325.0,7100.0,7250.0,7.046.662.109.375,69172900
2022-07-06,7300.0,7325.0,7175.0,7300.0,7.095.259.765.625,66801100
2022-07-07,7225.0,7250.0,7100.0,7100.0,690.086.865.234.375,86126800
2022-07-08,7125.0,7175.0,7075.0,7150.0,694.946.630.859.375,64312400
2022-07-11,7200.0,7200.0,7125.0,7125.0,692.516.796.875,36830800
2022-07-12,7175.0,7250.0,7150.0,7175.0,6.973.765.625,34269000
2022-07-13,7100.0,7125.0,7000.0,7000.0,680.367.333.984.375,71988200
2022-07-14,7025.0,7100.0,7000.0,7025.0,682.797.216.796.875,83316300
2022-07-15,7100.0,7100.0,7000.0,7000.0,680.367.333.984.375,57419900
2022-07-18,7025.0,7150.0,7025.0,7150.0,694.946.630.859.375,60077700
2022-07-19,7100.0,7175.0,7100.0,7175.0,6.973.765.625,59641000
2022-07-20,7200.0,7400.0,7175.0,7400.0,7.192.455.078.125,105792900
2022-07-21,7400.0,7400.0,7250.0,7400.0,7.192.455.078.125,64337100
2022-07-22,7400.0,7400.0,7300.0,7325.0,711.955.810.546.875,38956500
2022-07-25,7350.0,7375.0,7300.0,7300.0,7.095.259.765.625,31247600
2022-07-26,7250.0,7375.0,7250.0,7300.0,7.095.259.765.625,44379900
2022-07-27,7325.0,7350.0,7275.0,7325.0,711.955.810.546.875,58465500
2022-07-28,7375.0,7450.0,7325.0,7350.0,7.143.857.421.875,86909700
2022-07-29,7400.0,7475.0,7350.0,7350.0,7.143.857.421.875,131553000
2022-08-01,7350.0,7500.0,7350.0,7500.0,728.964.990.234.375,104841600
2022-08-02,7600.0,7625.0,7500.0,7600.0,738.684.521.484.375,106466900
